po_line_id,po_id,product_id,order_qty,unit_cost
477,202,1,182,820.93
518,216,1,204,820.93
1107,454,1,466,820.93
1699,688,1,406,820.93
1755,708,1,330,820.93
2243,901,1,430,820.93
2725,1098,1,387,820.93
3150,1261,1,215,820.93
3669,1456,1,405,820.93
3912,1559,1,198,820.93
4150,1663,1,165,820.93
4886,1959,1,315,820.93
5399,2170,1,312,820.93
5488,2205,1,434,820.93
5711,2295,1,132,820.93
6158,2474,1,199,820.93
6173,2480,1,270,820.93
6254,2513,1,221,820.93
6304,2531,1,228,820.93
6743,2702,1,407,820.93
6978,2806,1,484,820.93
7600,3058,1,261,820.93
7757,3130,1,250,820.93
8098,3269,1,365,820.93
8200,3313,1,193,820.93
8924,3611,1,156,820.93
9138,3697,1,364,820.93
9281,3764,1,493,820.93
9509,3850,1,150,820.93
9837,3976,1,375,820.93
9878,3994,1,107,820.93
11034,4458,1,44,820.93
11668,4712,1,57,820.93
11746,4741,1,395,820.93
11753,4743,1,209,820.93
12251,4937,1,269,820.93
13368,5376,1,361,820.93
14769,5933,1,213,820.93
15406,6181,1,422,820.93
15460,6202,1,155,820.93
15584,6251,1,186,820.93
15588,6253,1,265,820.93
16202,6497,1,351,820.93
17384,6974,1,158,820.93
18496,7422,1,437,820.93
19404,7778,1,66,820.93
19581,7846,1,256,820.93
19965,7992,1,456,820.93
20337,8145,1,233,820.93
20938,8388,1,190,820.93
20939,8389,1,62,820.93
21043,8428,1,360,820.93
21067,8438,1,133,820.93
21587,8644,1,299,820.93
21620,8656,1,79,820.93
21862,8747,1,254,820.93
22027,8812,1,37,820.93
22100,8842,1,421,820.93
22768,9120,1,24,820.93
22790,9130,1,435,820.93
22956,9199,1,155,820.93
23262,9324,1,85,820.93
23857,9561,1,53,820.93
23871,9566,1,448,820.93
24264,9719,1,102,820.93
24304,9735,1,376,820.93
25292,10134,1,231,820.93
25410,10184,1,116,820.93
25731,10321,1,325,820.93
25993,10423,1,240,820.93
26729,10728,1,241,820.93
26938,10816,1,359,820.93
27028,10850,1,176,820.93
28145,11314,1,435,820.93
28277,11370,1,499,820.93
28668,11530,1,327,820.93
28841,11598,1,73,820.93
29093,11701,1,29,820.93
29135,11719,1,91,820.93
29240,11764,1,390,820.93
30189,12138,1,119,820.93
30339,12195,1,161,820.93
30365,12206,1,122,820.93
30997,12458,1,147,820.93
31017,12465,1,347,820.93
31311,12585,1,118,820.93
31604,12700,1,167,820.93
32187,12936,1,138,820.93
32570,13092,1,141,820.93
32737,13162,1,186,820.93
32953,13251,1,26,820.93
33190,13340,1,130,820.93
33251,13362,1,73,820.93
33441,13443,1,243,820.93
33467,13452,1,389,820.93
33577,13494,1,433,820.93
34045,13679,1,429,820.93
34256,13769,1,439,820.93
34869,14010,1,99,820.93
35586,14280,1,444,820.93
36011,14460,1,326,820.93
36068,14489,1,85,820.93
36122,14508,1,224,820.93
36339,14593,1,357,820.93
36786,14778,1,104,820.93
38126,15322,1,239,820.93
38848,15609,1,112,820.93
38983,15663,1,170,820.93
39219,15758,1,319,820.93
39737,15966,1,283,820.93
39807,15996,1,427,820.93
39912,16039,1,222,820.93
40383,16229,1,170,820.93
40707,16356,1,290,820.93
40738,16369,1,322,820.93
41062,16495,1,83,820.93
41358,16610,1,345,820.93
41524,16680,1,37,820.93
41600,16715,1,427,820.93
41690,16753,1,109,820.93
42119,16923,1,217,820.93
42303,16996,1,73,820.93
42711,17154,1,56,820.93
44204,17755,1,386,820.93
44247,17769,1,281,820.93
44353,17809,1,295,820.93
44360,17812,1,477,820.93
44804,17993,1,35,820.93
45187,18145,1,133,820.93
45291,18183,1,404,820.93
45574,18296,1,296,820.93
45587,18301,1,470,820.93
45786,18378,1,207,820.93
45892,18422,1,29,820.93
45974,18456,1,106,820.93
46177,18539,1,145,820.93
46247,18566,1,287,820.93
46506,18674,1,81,820.93
46789,18784,1,395,820.93
47440,19048,1,222,820.93
48053,19294,1,218,820.93
48247,19377,1,215,820.93
48339,19414,1,229,820.93
48535,19499,1,99,820.93
48622,19533,1,433,820.93
48797,19598,1,127,820.93
49135,19731,1,145,820.93
49518,19879,1,50,820.93
49728,19963,1,160,820.93
50041,20082,1,262,820.93
50206,20151,1,222,820.93
51144,20530,1,84,820.93
52462,21055,1,161,820.93
52751,21170,1,319,820.93
52762,21174,1,330,820.93
52786,21185,1,486,820.93
52794,21188,1,35,820.93
53029,21285,1,271,820.93
53079,21305,1,155,820.93
53498,21476,1,355,820.93
54146,21735,1,87,820.93
54379,21825,1,152,820.93
54932,22046,1,188,820.93
55087,22107,1,212,820.93
55356,22217,1,178,820.93
55360,22219,1,113,820.93
55521,22281,1,229,820.93
55619,22318,1,444,820.93
55655,22332,1,269,820.93
55722,22356,1,228,820.93
55731,22359,1,340,820.93
56004,22466,1,470,820.93
56251,22564,1,474,820.93
56383,22616,1,324,820.93
56477,22652,1,344,820.93
56667,22729,1,474,820.93
57206,22936,1,61,820.93
57484,23044,1,328,820.93
57855,23203,1,216,820.93
57914,23227,1,106,820.93
58033,23276,1,329,820.93
58774,23581,1,234,820.93
59068,23703,1,304,820.93
59176,23748,1,239,820.93
59376,23828,1,426,820.93
59596,23916,1,272,820.93
60050,24095,1,284,820.93
60232,24167,1,358,820.93
60399,24238,1,436,820.93
61734,24759,1,305,820.93
61852,24804,1,143,820.93
61868,24810,1,446,820.93
62153,24920,1,185,820.93
7,3,2,350,213.7
114,45,2,214,213.7
877,361,2,474,213.7
957,393,2,406,213.7
994,408,2,416,213.7
1104,452,2,458,213.7
1265,516,2,187,213.7
1406,574,2,57,213.7
1415,578,2,474,213.7
1822,737,2,281,213.7
2762,1111,2,335,213.7
3158,1265,2,369,213.7
3244,1298,2,373,213.7
3461,1376,2,116,213.7
4166,1669,2,342,213.7
4514,1809,2,72,213.7
4642,1864,2,473,213.7
4991,2002,2,149,213.7
5298,2128,2,78,213.7
5333,2141,2,122,213.7
5800,2333,2,85,213.7
6024,2424,2,352,213.7
6702,2688,2,267,213.7
7149,2875,2,369,213.7
7336,2945,2,379,213.7
7415,2978,2,44,213.7
7422,2981,2,414,213.7
7435,2986,2,293,213.7
7725,3118,2,436,213.7
7803,3148,2,228,213.7
7848,3165,2,454,213.7
8091,3265,2,482,213.7
8142,3287,2,178,213.7
8382,3388,2,499,213.7
9047,3660,2,104,213.7
9443,3825,2,147,213.7
10093,4077,2,91,213.7
10529,4252,2,386,213.7
10678,4310,2,493,213.7
10724,4332,2,219,213.7
10797,4363,2,406,213.7
11579,4674,2,75,213.7
11727,4733,2,243,213.7
11832,4775,2,471,213.7
11931,4815,2,124,213.7
12018,4846,2,156,213.7
12111,4883,2,447,213.7
12147,4897,2,282,213.7
12238,4931,2,150,213.7
12620,5081,2,157,213.7
12784,5148,2,137,213.7
13302,5350,2,72,213.7
13473,5419,2,75,213.7
13861,5578,2,134,213.7
14383,5782,2,331,213.7
14685,5898,2,266,213.7
14723,5913,2,51,213.7
15220,6111,2,88,213.7
15411,6182,2,279,213.7
15522,6229,2,59,213.7
15571,6247,2,237,213.7
16482,6614,2,348,213.7
16782,6727,2,237,213.7
17304,6941,2,140,213.7
17543,7040,2,412,213.7
18252,7318,2,233,213.7
18300,7343,2,348,213.7
18369,7373,2,250,213.7
18694,7499,2,138,213.7
18696,7500,2,493,213.7
19171,7686,2,403,213.7
19508,7818,2,111,213.7
19787,7927,2,168,213.7
20000,8006,2,336,213.7
20152,8069,2,414,213.7
20203,8089,2,157,213.7
21166,8481,2,145,213.7
21488,8608,2,229,213.7
21601,8650,2,230,213.7
21679,8680,2,281,213.7
21727,8699,2,61,213.7
21886,8755,2,88,213.7
22131,8852,2,286,213.7
22383,8959,2,133,213.7
22388,8961,2,35,213.7
23156,9280,2,148,213.7
23282,9330,2,448,213.7
23598,9456,2,218,213.7
24343,9751,2,422,213.7
24855,9958,2,231,213.7
24956,9996,2,334,213.7
25080,10049,2,459,213.7
25128,10068,2,208,213.7
25337,10153,2,198,213.7
25599,10266,2,333,213.7
25626,10278,2,441,213.7
25849,10366,2,280,213.7
25960,10409,2,56,213.7
26697,10715,2,138,213.7
27006,10841,2,235,213.7
27635,11102,2,350,213.7
27727,11138,2,434,213.7
27784,11164,2,480,213.7
27826,11182,2,269,213.7
28033,11268,2,293,213.7
28064,11280,2,-5,213.7
28589,11498,2,446,213.7
28914,11632,2,266,213.7
29002,11665,2,178,213.7
29090,11700,2,78,213.7
29472,11853,2,425,213.7
29694,11943,2,74,213.7
29812,11989,2,429,213.7
29911,12024,2,462,213.7
29950,12040,2,486,213.7
30414,12227,2,59,213.7
30575,12296,2,304,213.7
30653,12327,2,314,213.7
30770,12372,2,450,213.7
30906,12427,2,416,213.7
30950,12441,2,160,213.7
31427,12633,2,331,213.7
31511,12667,2,306,213.7
31960,12845,2,309,213.7
32670,13134,2,191,213.7
32901,13231,2,284,213.7
33271,13372,2,93,213.7
33306,13389,2,488,213.7
33382,13419,2,235,213.7
33541,13479,2,216,213.7
34130,13715,2,94,213.7
34760,13963,2,24,213.7
34779,13970,2,290,213.7
34838,13998,2,290,213.7
35898,14413,2,264,213.7
36047,14480,2,84,213.7
36102,14503,2,110,213.7
36116,14507,2,25,213.7
36149,14520,2,72,213.7
36178,14534,2,177,213.7
36335,14592,2,318,213.7
36556,14681,2,342,213.7
36903,14820,2,42,213.7
36940,14833,2,305,213.7
36949,14836,2,183,213.7
37302,14981,2,90,213.7
38052,15293,2,85,213.7
38332,15404,2,188,213.7
38710,15552,2,162,213.7
38756,15571,2,71,213.7
39029,15685,2,76,213.7
39342,15810,2,448,213.7
40736,16368,2,481,213.7
40912,16436,2,386,213.7
41065,16497,2,482,213.7
41180,16538,2,336,213.7
41338,16603,2,227,213.7
41981,16868,2,110,213.7
42910,17234,2,417,213.7
43248,17377,2,55,213.7
43273,17387,2,356,213.7
43382,17431,2,488,213.7
43538,17491,2,286,213.7
43622,17523,2,250,213.7
43684,17550,2,68,213.7
43948,17655,2,281,213.7
44209,17756,2,410,213.7
44549,17894,2,153,213.7
44920,18043,2,26,213.7
45377,18219,2,137,213.7
45639,18320,2,361,213.7
45730,18356,2,258,213.7
45897,18423,2,110,213.7
46096,18509,2,326,213.7
46739,18766,2,448,213.7
46946,18843,2,205,213.7
47312,18996,2,150,213.7
47951,19253,2,197,213.7
48457,19466,2,349,213.7
48498,19485,2,65,213.7
48619,19532,2,362,213.7
49048,19696,2,482,213.7
49404,19835,2,362,213.7
49817,19997,2,174,213.7
50105,20107,2,447,213.7
50660,20329,2,371,213.7
51354,20619,2,464,213.7
51712,20759,2,190,213.7
51829,20803,2,395,213.7
51968,20857,2,35,213.7
52313,20993,2,203,213.7
52920,21240,2,69,213.7
53035,21288,2,204,213.7
53759,21580,2,464,213.7
53798,21597,2,268,213.7
53902,21635,2,346,213.7
54092,21715,2,349,213.7
54191,21751,2,192,213.7
55116,22119,2,191,213.7
56267,22570,2,98,213.7
56373,22612,2,136,213.7
56741,22757,2,170,213.7
56798,22777,2,407,213.7
56882,22806,2,350,213.7
57125,22903,2,309,213.7
57139,22911,2,263,213.7
57346,22995,2,370,213.7
57649,23119,2,222,213.7
57660,23123,2,327,213.7
58190,23341,2,214,213.7
58294,23382,2,252,213.7
58407,23428,2,57,213.7
58456,23452,2,294,213.7
58530,23481,2,31,213.7
58971,23661,2,226,213.7
58988,23669,2,426,213.7
59205,23763,2,430,213.7
60408,24242,2,287,213.7
60703,24361,2,332,213.7
60874,24426,2,21,213.7
60913,24439,2,325,213.7
61216,24563,2,341,213.7
61344,24607,2,421,213.7
61542,24683,2,127,213.7
61703,24747,2,97,213.7
717,294,3,221,423.57
2468,996,3,136,423.57
2792,1121,3,229,423.57
3046,1219,3,80,423.57
3245,1298,3,496,423.57
3268,1309,3,476,423.57
3432,1364,3,216,423.57
3665,1454,3,278,423.57
3710,1473,3,204,423.57
4262,1708,3,396,423.57
4538,1820,3,453,423.57
4610,1851,3,29,423.57
4878,1957,3,362,423.57
5180,2080,3,277,423.57
5697,2289,3,426,423.57
6172,2479,3,102,423.57
6772,2716,3,376,423.57
7126,2867,3,130,423.57
7209,2899,3,171,423.57
7755,3129,3,418,423.57
7817,3153,3,346,423.57
7987,3223,3,350,423.57
8311,3361,3,373,423.57
8861,3585,3,204,423.57
9086,3675,3,23,423.57
9388,3806,3,444,423.57
9734,3935,3,312,423.57
9896,4000,3,74,423.57
9943,4016,3,234,423.57
10327,4176,3,314,423.57
10864,4389,3,325,423.57
11376,4591,3,353,423.57
11892,4799,3,500,423.57
12878,5184,3,34,423.57
13173,5301,3,144,423.57
13461,5414,3,379,423.57
13670,5502,3,405,423.57
14348,5769,3,325,423.57
14457,5808,3,353,423.57
14651,5885,3,254,423.57
15104,6065,3,416,423.57
15449,6198,3,169,423.57
15554,6241,3,281,423.57
15759,6319,3,222,423.57
15837,6351,3,381,423.57
15844,6355,3,66,423.57
15984,6413,3,122,423.57
17313,6944,3,432,423.57
17484,7016,3,63,423.57
17623,7074,3,320,423.57
17777,7128,3,253,423.57
18739,7516,3,292,423.57
18756,7522,3,119,423.57
18810,7542,3,434,423.57
19244,7713,3,228,423.57
19362,7762,3,236,423.57
19990,8001,3,97,423.57
20093,8041,3,314,423.57
20445,8184,3,361,423.57
20790,8324,3,128,423.57
21350,8550,3,22,423.57
21351,8550,3,85,423.57
21433,8585,3,287,423.57
21607,8652,3,495,423.57
21648,8666,3,181,423.57
21669,8676,3,428,423.57
22281,8915,3,106,423.57
22465,8990,3,483,423.57
22931,9190,3,63,423.57
23175,9288,3,128,423.57
23190,9298,3,215,423.57
24115,9665,3,94,423.57
24141,9676,3,133,423.57
24169,9687,3,217,423.57
24470,9805,3,277,423.57
24814,9941,3,28,423.57
25291,10134,3,451,423.57
25640,10282,3,350,423.57
26784,10753,3,326,423.57
27196,10917,3,92,423.57
27255,10941,3,94,423.57
28469,11452,3,485,423.57
28584,11496,3,378,423.57
28658,11526,3,109,423.57
28737,11559,3,327,423.57
28963,11651,3,112,423.57
29316,11795,3,217,423.57
29621,11916,3,173,423.57
29891,12017,3,261,423.57
30496,12261,3,424,423.57
30551,12284,3,445,423.57
30587,12302,3,192,423.57
30698,12345,3,356,423.57
31023,12468,3,148,423.57
31133,12511,3,33,423.57
31261,12566,3,75,423.57
31332,12594,3,230,423.57
32259,12967,3,464,423.57
32275,12972,3,126,423.57
32507,13066,3,488,423.57
32638,13120,3,251,423.57
32786,13185,3,250,423.57
33021,13275,3,217,423.57
33192,13340,3,399,423.57
33269,13372,3,297,423.57
33680,13534,3,367,423.57
33737,13558,3,201,423.57
33782,13573,3,346,423.57
33954,13642,3,458,423.57
35118,14108,3,298,423.57
35287,14169,3,264,423.57
35614,14293,3,441,423.57
35808,14375,3,54,423.57
37122,14910,3,320,423.57
37712,15152,3,75,423.57
37940,15247,3,333,423.57
39041,15689,3,492,423.57
39046,15691,3,391,423.57
39185,15743,3,261,423.57
39302,15792,3,124,423.57
40425,16248,3,84,423.57
40647,16330,3,431,423.57
40916,16438,3,187,423.57
41272,16577,3,447,423.57
41289,16583,3,354,423.57
42152,16935,3,231,423.57
42381,17028,3,320,423.57
42622,17117,3,140,423.57
42786,17185,3,276,423.57
42904,17231,3,184,423.57
43054,17298,3,461,423.57
43171,17345,3,443,423.57
43319,17405,3,79,423.57
43834,17611,3,260,423.57
44285,17784,3,303,423.57
44498,17876,3,136,423.57
44653,17934,3,450,423.57
44836,18007,3,103,423.57
45809,18387,3,490,423.57
45844,18402,3,267,423.57
46381,18621,3,110,423.57
46387,18622,3,366,423.57
46391,18623,3,181,423.57
46656,18730,3,215,423.57
46877,18816,3,45,423.57
46925,18834,3,360,423.57
47051,18886,3,298,423.57
47294,18988,3,84,423.57
47777,19186,3,449,423.57
48077,19305,3,292,423.57
48341,19415,3,359,423.57
48582,19519,3,419,423.57
48632,19536,3,49,423.57
48945,19654,3,267,423.57
49083,19708,3,115,423.57
49242,19770,3,394,423.57
49745,19970,3,84,423.57
49773,19980,3,312,423.57
50001,20066,3,214,423.57
50003,20067,3,321,423.57
50906,20428,3,106,423.57
50992,20466,3,313,423.57
51389,20632,3,162,423.57
51734,20767,3,287,423.57
51900,20829,3,116,423.57
52186,20942,3,158,423.57
52466,21057,3,63,423.57
52474,21060,3,373,423.57
52761,21173,3,28,423.57
52987,21269,3,37,423.57
53094,21311,3,242,423.57
53738,21573,3,305,423.57
53988,21668,3,148,423.57
54923,22043,3,488,423.57
54962,22055,3,382,423.57
55094,22111,3,424,423.57
55890,22418,3,182,423.57
56494,22660,3,256,423.57
56807,22779,3,106,423.57
57184,22928,3,498,423.57
57321,22983,3,455,423.57
58236,23360,3,223,423.57
58323,23393,3,291,423.57
58518,23478,3,99,423.57
59279,23792,3,316,423.57
59458,23862,3,369,423.57
59735,23965,3,496,423.57
59739,23966,3,178,423.57
59785,23983,3,389,423.57
60208,24157,3,382,423.57
60359,24221,3,397,423.57
60917,24442,3,365,423.57
61063,24498,3,488,423.57
61269,24581,3,304,423.57
61537,24682,3,417,423.57
61552,24688,3,140,423.57
61561,24691,3,498,423.57
61683,24739,3,365,423.57
61861,24807,3,452,423.57
61972,24855,3,175,423.57
98,38,4,442,390.4
339,145,4,199,390.4
361,154,4,455,390.4
636,262,4,201,390.4
943,385,4,165,390.4
2383,960,4,139,390.4
2685,1082,4,49,390.4
2828,1134,4,453,390.4
4019,1603,4,381,390.4
4313,1729,4,49,390.4
4685,1881,4,255,390.4
4913,1970,4,444,390.4
5607,2254,4,69,390.4
6016,2420,4,20,390.4
6768,2713,4,208,390.4
6985,2809,4,460,390.4
7005,2817,4,182,390.4
7157,2878,4,335,390.4
7268,2920,4,290,390.4
7459,2996,4,391,390.4
7665,3091,4,481,390.4
7865,3171,4,333,390.4
8155,3292,4,460,390.4
8355,3377,4,446,390.4
8399,3395,4,196,390.4
8437,3408,4,192,390.4
11233,4534,4,361,390.4
