po_line_id,expected_delivery,actual_delivery
1,6/16/2025,6/22/2025
2,6/17/2025,6/24/2025
3,6/16/2025,6/22/2025
4,11/12/2025,11/12/2025
5,11/13/2025,11/11/2025
6,5/12/2024,5/14/2024
7,5/15/2024,5/15/2024
8,7/26/2025,7/31/2025
9,7/19/2025,7/26/2025
10,7/19/2025,7/17/2025
11,11/22/2025,11/23/2025
12,11/28/2025,12/2/2025
13,11/22/2025,11/21/2025
14,11/17/2025,11/24/2025
15,11/30/2025,12/7/2025
16,11/20/2025,11/21/2025
17,11/29/2025,12/6/2025
18,11/25/2025,11/25/2025
19,2/26/2024,2/25/2024
20,2/29/2024,3/2/2024
21,2/21/2024,2/25/2024
22,4/13/2024,4/14/2024
23,4/2/2025,4/7/2025
24,4/8/2025,4/9/2025
25,4/9/2025,4/12/2025
26,4/8/2025,4/12/2025
27,6/27/2025,7/1/2025
28,7/2/2025,7/2/2025
29,6/26/2025,6/22/2025
30,12/28/2024,6/24/2025
31,10/28/2024,6/22/2025
32,10/23/2024,11/12/2025
33,10/28/2024,11/11/2025
34,10/31/2024,5/14/2024
35,4/13/2024,5/15/2024
36,10/8/2024,7/31/2025
37,10/13/2024,7/26/2025
38,10/15/2024,7/17/2025
39,1/30/2024,11/23/2025
40,1/24/2024,12/2/2025
41,1/23/2024,11/21/2025
42,1/30/2024,11/24/2025
43,9/14/2025,12/7/2025
44,9/11/2025,11/21/2025
45,9/26/2025,12/6/2025
46,9/24/2025,11/25/2025
47,9/22/2025,2/25/2024
48,2/11/2024,3/2/2024
49,2/15/2024,2/25/2024
50,12/24/2024,4/14/2024
51,12/14/2024,4/7/2025
52,8/31/2025,4/9/2025
53,12/13/2024,4/12/2025
54,12/22/2024,4/12/2025
55,12/7/2024,7/1/2025
56,3/3/2025,7/2/2025
57,2/24/2025,6/28/2025
58,3/1/2025,1/4/2025
59,12/28/2024,10/30/2024
60,12/25/2024,10/29/2024
61,10/11/2025,10/29/2024
62,10/15/2025,11/1/2024
63,10/11/2025,4/12/2024
64,7/23/2025,10/8/2024
65,7/22/2025,10/15/2024
66,7/28/2025,10/22/2024
67,7/2/2024,1/28/2024
68,7/5/2024,1/23/2024
69,6/27/2024,1/29/2024
70,7/1/2024,1/29/2024
71,8/1/2025,9/16/2025
72,7/31/2025,9/18/2025
73,5/20/2025,10/2/2025
74,5/17/2025,9/27/2025
75,5/19/2025,9/25/2025
76,5/19/2025,2/12/2024
77,7/14/2025,2/19/2024
78,7/20/2025,12/23/2024
79,6/26/2025,12/17/2024
80,6/24/2025,9/7/2025
81,2/6/2024,12/13/2024
82,2/10/2024,7/5/2024
83,9/1/2025,11/22/2024
84,8/29/2025,7/27/2024
85,9/8/2025,7/14/2024
86,9/7/2025,6/24/2024
87,5/5/2024,5/14/2024
88,5/4/2024,12/13/2024
89,5/5/2024,10/20/2024
90,5/1/2024,11/8/2024
91,4/21/2025,10/31/2024
92,4/20/2025,7/20/2024
93,4/24/2025,7/23/2024
94,4/28/2025,5/25/2024
95,12/15/2024,4/6/2024
96,12/15/2024,1/23/2024
97,1/21/2024,11/14/2024
98,1/22/2024,11/14/2024
99,1/23/2024,11/7/2024
100,1/27/2024,3/6/2024
101,1/23/2024,8/21/2024
102,1/14/2024,4/22/2024
103,2/14/2024,8/21/2024
104,2/12/2024,4/18/2024
105,2/11/2024,6/25/2024
106,2/19/2024,10/14/2024
107,9/15/2024,8/7/2024
108,9/19/2024,12/31/2024
109,11/7/2025,7/16/2024
110,12/7/2025,11/1/2024
111,12/5/2025,3/10/2024
112,1/18/2025,4/6/2024
113,1/15/2025,8/19/2024
114,8/30/2025,5/24/2024
115,6/14/2025,4/5/2024
116,6/22/2025,6/30/2024
117,9/23/2025,11/30/2024
118,8/11/2025,12/21/2024
119,11/19/2024,4/2/2024
120,11/22/2024,10/4/2024
121,4/25/2025,2/4/2024
122,4/25/2025,2/10/2024
123,5/7/2025,3/29/2024
124,4/4/2025,4/30/2024
125,4/1/2025,7/4/2024
126,4/4/2025,11/9/2024
127,4/3/2025,11/27/2024
128,9/26/2024,9/9/2024
129,1/22/2024,7/22/2024
130,4/4/2024,8/30/2024
131,11/7/2024,9/16/2024
132,11/1/2024,3/16/2024
133,10/28/2025,9/6/2024
134,10/25/2025,3/21/2024
135,10/30/2025,4/30/2024
136,10/29/2025,7/8/2024
137,11/9/2024,11/25/2024
138,11/10/2024,6/30/2024
139,7/31/2024,2/24/2024
140,8/1/2024,7/14/2024
141,7/27/2024,8/22/2024
142,10/18/2025,5/6/2024
143,8/14/2024,3/15/2024
144,8/15/2024,11/14/2024
145,8/14/2024,7/27/2024
146,8/10/2024,5/1/2024
147,1/13/2024,1/26/2024
148,1/15/2024,3/24/2024
149,1/7/2024,9/18/2024
150,2/12/2024,3/6/2024
151,2/6/2024,3/16/2024
152,12/4/2024,3/20/2024
153,12/3/2024,2/7/2024
154,12/1/2024,2/8/2024
155,3/22/2025,2/28/2024
156,3/21/2025,10/3/2024
157,3/29/2025,7/30/2024
158,5/5/2024,9/13/2024
159,5/8/2024,9/14/2024
160,1/27/2025,12/4/2024
161,11/6/2024,7/20/2024
